track,exp01_corr,exp01_lag,exp07_corr,exp07_lag
mBR0_,0.23437993104158522,-6,0.17978945537044227,-5
mBR1_,0.2346831841216211,14,0.19012328600827008,-13
mBR2_,0.22381584648384922,-14,0.10823905609328628,0
mBR3_,0.1640318785842932,-12,0.20669320014608386,3
mBR4_,0.07878746810646496,-11,0.08910195879019588,-10
mBR5_,0.09232236893983728,-2,0.22857390314412904,-11
mHO0_,0.09774104325201173,5,0.130854709810089,15
mHO1_,0.12430834268769111,11,0.10732591265644384,15
mHO2_,0.1537183043628782,-7,0.0868076655587017,2
mHO3_,0.12972525225785528,10,0.18849486459105624,4
mHO4_,0.07596245021347457,0,0.19050759933123684,7
mHO5_,0.13337289850733156,-5,0.13620174930204387,14
mJB0_,0.07134692888198953,15,0.2430010049714125,10
mJB1_,0.07108580338955624,-8,0.20705742152614054,1
mJB2_,0.18612706035588922,14,0.12878686022322527,14
mJB3_,0.2716165357469251,11,0.5068310639604464,5
mJB4_,0.14436105416088185,7,0.20952455966134997,5
mJB5_,0.1319291570979775,6,0.14515417869639913,-12
mJS0_,0.07759018063049576,-9,0.11111340614249442,5
mJS1_,0.19767169337559792,2,0.16877090190057714,9
mJS2_,0.17923243673782716,-15,0.2378987313664827,15
mJS3_,0.11358346376497828,13,0.16662483033710182,15
mJS4_,0.1186264407326901,-1,0.22794440499506852,-3
mJS5_,0.15432778475456077,13,0.23650197068489054,12
mKR0_,0.08305267342825114,-15,0.2614861566365358,0
mKR1_,0.10387868638480673,-6,0.13398338390946454,3
mKR2_,0.0740040640198312,-2,0.20144486489590607,-2
mKR3_,0.19966768844990077,-8,0.2339541685996395,-6
mKR4_,0.11841722479925489,15,0.13528565320610908,-3
mKR5_,0.12642306147856971,-1,0.19399180144045425,13
mLH0_,0.17027425919249575,-7,0.10324984798625611,-6
mLH1_,0.4514060812820605,11,0.2264679560145909,7
mLH2_,0.12418829275208403,15,0.3754874261672724,0
mLH3_,0.16805413237366276,13,0.16230058971353153,-7
mLH4_,0.07963502127171843,3,0.12430736765764276,12
mLH5_,0.23780964708893318,5,0.1851696091947991,-10
mLO0_,0.17277283282013348,-12,0.20422914388295477,-15
mLO1_,0.20315990694766586,-7,0.12535446231327949,13
mLO2_,0.11292783147913094,-6,0.14083173802715757,9
mLO3_,0.14698448087335883,1,0.15066674867871377,-4
mLO4_,0.10847151978059151,-15,0.21286194595159197,11
mLO5_,0.12741628007007677,-7,0.12335727188771023,-3
mMH0_,0.10948626245422524,10,0.11160739573232484,15
mMH1_,0.20791362799585228,-8,0.15093608405255965,-1
mMH2_,0.21685908271042173,-13,0.2708576606412756,-13
mMH3_,0.21906099378820537,2,0.13765624630323403,-11
mMH4_,0.10638683831642565,13,0.22366952518526975,-13
mMH5_,0.18710470493907222,14,0.1471323599737831,-13
mPO0_,0.16615130410631682,-12,0.13168595577169764,6
mPO1_,0.2392794960256461,-2,0.18492498931407875,-3
mPO2_,0.1239715505062076,5,0.1943754947200049,7
mPO3_,0.2509607504414746,11,0.2692277586252169,-4
mPO4_,0.07555427912493783,-2,0.1326148776675282,8
mPO5_,0.16756604846238973,-1,0.10318659643614458,-10
mWA0_,0.26108639240042675,-15,0.2543136802248092,0
mWA1_,0.1745763336713924,-3,0.2049906797150698,12
mWA2_,0.17010501863064034,3,0.23305205926562278,13
mWA3_,0.24734114126885673,13,0.2624317003037099,2
mWA4_,0.09629804914683607,14,0.26645988740552473,12
mWA5_,0.018154755202830702,5,0.17557438849674784,-1
