track,exp02_corr,exp02_lag,exp04_corr,exp04_lag
mBR0_,0.14945510284227734,9,0.11299865882861218,3
mBR1_,0.1282630107213373,9,0.2475214751270894,2
mBR2_,0.06922285936574879,-15,0.13056326029722523,-4
mBR3_,0.1937406893751486,-11,0.246220715607585,-12
mBR4_,0.053071384533681584,7,0.16920637271770583,5
mBR5_,0.2664822644240794,-2,0.14245001768556528,-10
mHO0_,0.17940470080195714,13,0.2027834393567028,9
mHO1_,0.15613672747743762,-15,0.2529761663854768,2
mHO2_,0.2804157984262741,2,0.23311967193586663,14
mHO3_,0.13692839468174783,-13,0.4366133809375844,0
mHO4_,0.16044871157321572,10,0.11643256921622115,-13
mHO5_,0.0551319497153795,-11,0.10901310775548957,0
mJB0_,0.18708912518864082,3,0.12908030741770493,-15
mJB1_,0.13351131159421326,-9,0.13468110769046904,8
mJB2_,0.14176885749670026,13,0.18414541840059725,10
mJB3_,0.11765608984135903,14,0.20036523546820115,1
mJB4_,0.15452416824108628,-6,0.3663493002194004,-3
mJB5_,0.18847989251722236,15,0.16036179634373518,-12
mJS0_,0.24692576522341597,0,0.19676658480995804,2
mJS1_,0.13883236941229893,0,0.2582552980408954,10
mJS2_,0.18851654595791523,4,0.2178510433209036,0
mJS3_,0.18479698267188208,8,0.0977963787663272,7
mJS4_,0.27312612367214817,7,0.13550570005913276,-12
mJS5_,0.17989020702224984,15,0.14352124391479243,-12
mKR0_,0.05363952650679991,-3,0.1464622592966413,-10
mKR1_,0.1401123522783167,-1,0.09582329341973117,11
mKR2_,0.2591318848120979,4,0.2723005951425624,-15
mKR3_,0.23461330640329706,-5,0.24951119952546136,0
mKR4_,0.17514990090911353,13,0.09481998965489465,4
mKR5_,0.12498939139545201,9,0.11235566499308532,6
mLH0_,0.25997417148876073,-8,0.0970310995182034,10
mLH1_,0.13719142563293063,12,0.21235394775516625,-2
mLH2_,0.28759468066071114,0,0.015021248908090375,15
mLH3_,0.15520753467889747,-10,0.1245964282247283,-14
mLH4_,0.21553125503080886,0,0.15373418724042343,13
mLH5_,0.27100087408569207,-5,0.17104812311452433,10
mLO0_,0.1393848886430971,11,0.1855881641826124,-13
mLO1_,0.08613302671898974,6,0.16556126942158253,-3
mLO2_,0.12094961172662852,-1,0.19283723110001172,-4
mLO3_,0.17231116919113146,-4,0.11037989047909287,1
mLO4_,0.1828662266102588,13,0.13133299481950836,7
mLO5_,0.08723715642370738,-6,0.12433940882975937,-6
mMH0_,0.11685321005897316,-10,0.09772218785415987,0
mMH1_,0.19833942810094016,-15,0.17645634473139643,-11
mMH2_,0.2334068839789715,-13,0.2146542269473298,13
mMH3_,0.13472590885533342,6,0.11450441243087317,13
mMH4_,0.23273532222980797,3,0.15488828530677123,10
mMH5_,0.25037332712325555,-6,0.2343480688990309,6
mPO0_,0.2034900454657326,-7,0.3787444583362377,-10
mPO1_,0.24578852403939005,-14,0.19474814397280443,-8
mPO2_,0.11238301978481625,10,0.199231217305251,-2
mPO3_,0.15052020859193715,15,0.18389633506800515,13
mPO4_,0.1725406990674146,-3,0.15336993286444467,-2
mPO5_,0.2458657453770598,-15,0.10553679848822209,-7
mWA0_,0.18226106523073335,-11,0.1947845276943271,1
mWA1_,0.19664016848437166,-5,0.2051042870667629,2
mWA2_,0.18969682720607783,-13,0.12344405844787591,6
mWA3_,0.0508606450847324,-13,0.2669703617663472,10
mWA4_,0.24551303150830073,-4,0.09527045670895518,12
mWA5_,0.1694711734703505,11,0.08213925976467641,0
