track,exp02_corr,exp02_lag,exp06b_corr,exp06b_lag
mBR0_,0.1494550991895363,9,0.17049116519694893,8
mBR1_,0.12826302294697228,9,0.171843503197906,6
mBR2_,0.0692228633990392,-15,0.09260194702742279,4
mBR3_,0.19374067190523833,-11,0.19412065420197022,-12
mBR4_,0.05307138807994811,7,0.2096535595954938,-14
mBR5_,0.2664822473336075,-2,0.09789310414758733,-11
mHO0_,0.17940467925011647,13,0.046495202491679904,-5
mHO1_,0.1561367099226121,-15,0.22282597351561706,-5
mHO2_,0.2804158405889957,2,0.0895885664868939,-8
mHO3_,0.13692840198390602,-13,0.20484697127484833,-14
mHO4_,0.16044873364416978,10,0.10364698191059328,3
mHO5_,0.05513194263500028,-11,0.24480205527573468,10
mJB0_,0.18708911903430459,3,0.2017310773138204,14
mJB1_,0.13351133763807244,-9,0.1779663659600996,-14
mJB2_,0.1417688397484001,13,0.19204809486508767,2
mJB3_,0.11765608899305388,14,0.5031542036960143,11
mJB4_,0.15452419412456958,-6,0.24694821197334446,-14
mJB5_,0.18847990349497823,15,0.17749152997620363,1
mJS0_,0.24692578395432532,0,0.1830579408972745,11
mJS1_,0.1388323646411992,0,0.2748030439426833,9
mJS2_,0.18851654328561673,4,0.2432387454478528,-12
mJS3_,0.18479700189736642,8,0.21735465933465328,1
mJS4_,0.27312612366471584,7,0.19792722317090056,12
mJS5_,0.17989020276577194,15,0.15811980790986926,-2
mKR0_,0.05363953004729069,-3,0.1660283710278707,5
mKR1_,0.14011235417644,-1,0.18923981538533366,-13
mKR2_,0.25913189855086416,4,0.140606170841087,0
mKR3_,0.23461330892750326,-5,0.31402221640484157,8
mKR4_,0.17514989366237543,13,0.12812681289249506,2
mKR5_,0.12498940673514121,9,0.11031745290146273,-11
mLH0_,0.259974184923307,-8,0.33044962212248846,-10
mLH1_,0.13719141638916732,12,0.22523590627510515,-4
mLH2_,0.2875946853022608,0,0.0821185604072403,11
mLH3_,0.15520752054553408,-10,0.1496015786147654,2
mLH4_,0.21553124679496333,0,0.32490284080515036,-14
mLH5_,0.2710008598980624,-5,0.18457260821901045,10
mLO0_,0.13938487905500271,11,0.15621741650379298,-12
mLO1_,0.08613301127682846,6,0.13166949567980504,0
mLO2_,0.12094960355282747,-1,0.12812557896422613,0
mLO3_,0.17231116862113446,-4,0.2368536796147288,-1
mLO4_,0.18286623563238105,13,0.1529065796593464,-11
mLO5_,0.08723715087605315,-6,0.15402762551670893,10
mMH0_,0.11685321533656468,-10,0.15708086886182415,5
mMH1_,0.19833941321980497,-15,0.18170166116104605,14
mMH2_,0.2334068585743518,-13,0.2515456134785666,-14
mMH3_,0.13472590140248353,6,0.23129425672404869,10
mMH4_,0.23273531154141683,3,0.16514738921327732,6
mMH5_,0.2503733098845309,-6,0.20051277000557063,7
mPO0_,0.2034900596835748,-7,0.16666285063688926,6
mPO1_,0.24578853490911107,-14,0.17255705519418565,-5
mPO2_,0.11238300377178433,10,0.16664380309243593,5
mPO3_,0.15052020913270903,15,0.34387993250114807,-1
mPO4_,0.17254070592784124,-3,0.16661791101841758,2
mPO5_,0.2458657711644623,-15,0.21015952742554334,-2
mWA0_,0.18226106321812016,-11,0.22550025242760502,-15
mWA1_,0.19664016578520055,-5,0.22989907817001168,13
mWA2_,0.1896968235221625,-13,0.23577133215681811,-9
mWA3_,0.050860653837944095,-13,0.1714678895614739,8
mWA4_,0.24551304408794436,-4,0.14779121615061216,14
mWA5_,0.16947118642470083,11,0.23114817904659613,1
