track,exp03_corr,exp03_lag,exp04_corr,exp04_lag
mBR0_,0.11281109940880372,-15,0.11299865882861218,3
mBR1_,0.10877912288415478,-13,0.2475214751270894,2
mBR2_,0.05655975291821169,1,0.13056326029722523,-4
mBR3_,0.12612242029943307,-10,0.246220715607585,-12
mBR4_,0.13072827785876937,-15,0.16920637271770583,5
mBR5_,0.1580611570439648,-1,0.14245001768556528,-10
mHO0_,0.1011229193035165,9,0.2027834393567028,9
mHO1_,0.23297892841464524,-10,0.2529761663854768,2
mHO2_,0.2143861171164766,-14,0.23311967193586663,14
mHO3_,0.2907541375990694,2,0.4366133809375844,0
mHO4_,0.007978711114900342,1,0.11643256921622115,-13
mHO5_,0.2916744898834817,4,0.10901310775548957,0
mJB0_,0.21555737086841903,14,0.12908030741770493,-15
mJB1_,0.24311160727763395,1,0.13468110769046904,8
mJB2_,0.18113856959708494,1,0.18414541840059725,10
mJB3_,0.5708163787836503,8,0.20036523546820115,1
mJB4_,0.2068682935466342,-10,0.3663493002194004,-3
mJB5_,0.15041409984255594,-7,0.16036179634373518,-12
mJS0_,0.18095042499811675,-7,0.19676658480995804,2
mJS1_,0.18088120877318348,3,0.2582552980408954,10
mJS2_,0.18494798170554452,0,0.2178510433209036,0
mJS3_,0.20627487551358056,-11,0.0977963787663272,7
mJS4_,0.13915683055493852,-13,0.13550570005913276,-12
mJS5_,0.10994429739628961,-15,0.14352124391479243,-12
mKR0_,0.07536346185814043,-11,0.1464622592966413,-10
mKR1_,0.19222171744001,-8,0.09582329341973117,11
mKR2_,0.0653266183637795,13,0.2723005951425624,-15
mKR3_,0.16579515627948035,5,0.24951119952546136,0
mKR4_,0.08789704307897159,-4,0.09481998965489465,4
mKR5_,0.06737861753253488,8,0.11235566499308532,6
mLH0_,0.13918112656411072,-11,0.0970310995182034,10
mLH1_,0.1891530426573741,13,0.21235394775516625,-2
mLH2_,0.18108851120624156,8,0.015021248908090375,15
mLH3_,0.13565992890105458,11,0.1245964282247283,-14
mLH4_,0.19726524440215884,14,0.15373418724042343,13
mLH5_,0.23284408371159201,-5,0.17104812311452433,10
mLO0_,0.09001117191527926,14,0.1855881641826124,-13
mLO1_,0.028177525246940914,-8,0.16556126942158253,-3
mLO2_,0.1301387041840094,9,0.19283723110001172,-4
mLO3_,0.1604735048956726,-5,0.11037989047909287,1
mLO4_,0.09766386726315736,0,0.13133299481950836,7
mLO5_,0.06099270727444545,1,0.12433940882975937,-6
mMH0_,0.20943196445727538,11,0.09772218785415987,0
mMH1_,0.15410025656637114,10,0.17645634473139643,-11
mMH2_,0.258983782381796,-14,0.2146542269473298,13
mMH3_,0.12203514683159908,3,0.11450441243087317,13
mMH4_,0.09021826198330676,-4,0.15488828530677123,10
mMH5_,0.08489901072952938,-6,0.2343480688990309,6
mPO0_,0.25533811225891057,6,0.3787444583362377,-10
mPO1_,0.14978862578326,-5,0.19474814397280443,-8
mPO2_,0.20482993563049484,-11,0.199231217305251,-2
mPO3_,0.04950420922598586,-6,0.18389633506800515,13
mPO4_,0.158383663945537,-10,0.15336993286444467,-2
mPO5_,0.18836326401359743,13,0.10553679848822209,-7
mWA0_,0.10651645490960243,3,0.1947845276943271,1
mWA1_,0.16661403248273726,-2,0.2051042870667629,2
mWA2_,0.309315503626726,1,0.12344405844787591,6
mWA3_,0.13784456158687958,-6,0.2669703617663472,10
mWA4_,0.14234844913091538,-1,0.09527045670895518,12
mWA5_,0.10742227541716619,0,0.08213925976467641,0
