track,exp04_corr,exp04_lag,exp06b_corr,exp06b_lag
mBR0_,0.11299866899265082,3,0.17049116519694893,8
mBR1_,0.24752145638240441,2,0.171843503197906,6
mBR2_,0.13056325105738092,-4,0.09260194702742279,4
mBR3_,0.24622072392775304,-12,0.19412065420197022,-12
mBR4_,0.16920636190886493,5,0.2096535595954938,-14
mBR5_,0.1424500086744351,-10,0.09789310414758733,-11
mHO0_,0.20278342353942982,9,0.046495202491679904,-5
mHO1_,0.2529761735072144,2,0.22282597351561706,-5
mHO2_,0.23311969178961198,14,0.0895885664868939,-8
mHO3_,0.4366133718562166,0,0.20484697127484833,-14
mHO4_,0.11643258117929316,-13,0.10364698191059328,3
mHO5_,0.10901311240344055,0,0.24480205527573468,10
mJB0_,0.12908032665685246,-15,0.2017310773138204,14
mJB1_,0.13468108907739243,8,0.1779663659600996,-14
mJB2_,0.18414545033405041,10,0.19204809486508767,2
mJB3_,0.20036523039781803,1,0.5031542036960143,11
mJB4_,0.3663492957259698,-3,0.24694821197334446,-14
mJB5_,0.16036181165343324,-12,0.17749152997620363,1
mJS0_,0.196766604407248,2,0.1830579408972745,11
mJS1_,0.25825532655873623,10,0.2748030439426833,9
mJS2_,0.2178510391343798,0,0.2432387454478528,-12
mJS3_,0.09779637434250028,7,0.21735465933465328,1
mJS4_,0.13550569462801088,-12,0.19792722317090056,12
mJS5_,0.14352123581201076,-12,0.15811980790986926,-2
mKR0_,0.1464622675814003,-10,0.1660283710278707,5
mKR1_,0.09582329516397123,11,0.18923981538533366,-13
mKR2_,0.27230061275240997,-15,0.140606170841087,0
mKR3_,0.24951118501330755,0,0.31402221640484157,8
mKR4_,0.09481998614245805,4,0.12812681289249506,2
mKR5_,0.11235564632167833,6,0.11031745290146273,-11
mLH0_,0.09703108076508753,10,0.33044962212248846,-10
mLH1_,0.21235394273917035,-2,0.22523590627510515,-4
mLH2_,0.015021244907237068,15,0.0821185604072403,11
mLH3_,0.12459643224570663,-14,0.1496015786147654,2
mLH4_,0.15373417317065402,13,0.32490284080515036,-14
mLH5_,0.1710481222551429,10,0.18457260821901045,10
mLO0_,0.18558814168500676,-13,0.15621741650379298,-12
mLO1_,0.1655612777513732,-3,0.13166949567980504,0
mLO2_,0.19283723012454015,-4,0.12812557896422613,0
mLO3_,0.11037990919328113,1,0.2368536796147288,-1
mLO4_,0.13133300955671373,7,0.1529065796593464,-11
mLO5_,0.12433940940914871,-6,0.15402762551670893,10
mMH0_,0.09772219068637954,0,0.15708086886182415,5
mMH1_,0.1764563334810362,-11,0.18170166116104605,14
mMH2_,0.2146542140232965,13,0.2515456134785666,-14
mMH3_,0.11450441217361704,13,0.23129425672404869,10
mMH4_,0.15488827104682035,10,0.16514738921327732,6
mMH5_,0.23434807752657913,6,0.20051277000557063,7
mPO0_,0.3787444590433391,-10,0.16666285063688926,6
mPO1_,0.19474815869602302,-8,0.17255705519418565,-5
mPO2_,0.19923125503997446,-2,0.16664380309243593,5
mPO3_,0.18389633658281923,13,0.34387993250114807,-1
mPO4_,0.15336993997820847,-2,0.16661791101841758,2
mPO5_,0.1055368065957413,-7,0.21015952742554334,-2
mWA0_,0.1947845246395075,1,0.22550025242760502,-15
mWA1_,0.20510427702597342,2,0.22989907817001168,13
mWA2_,0.12344406857419885,6,0.23577133215681811,-9
mWA3_,0.2669703543070928,10,0.1714678895614739,8
mWA4_,0.09527046956008052,12,0.14779121615061216,14
mWA5_,0.08213926063663203,0,0.23114817904659613,1
