track,exp03_corr,exp03_lag,exp05_corr,exp05_lag
mBR0_,0.11281109940880372,-15,0.16474456404363352,12
mBR1_,0.10877912288415478,-13,0.16544538439571072,-8
mBR2_,0.05655975291821169,1,0.12488080173629469,5
mBR3_,0.12612242029943307,-10,0.2286509089431133,-2
mBR4_,0.13072827785876937,-15,0.1467174789907696,-10
mBR5_,0.1580611570439648,-1,0.09845762443325307,-10
mHO0_,0.1011229193035165,9,0.10312227439052309,-12
mHO1_,0.23297892841464524,-10,0.1291221978884833,-5
mHO2_,0.2143861171164766,-14,0.184106535679944,12
mHO3_,0.2907541375990694,2,0.23361376972302125,14
mHO4_,0.007978711114900342,1,0.14994172455252552,-7
mHO5_,0.2916744898834817,4,0.17155494513894026,-10
mJB0_,0.21555737086841903,14,0.16263418896465273,-4
mJB1_,0.24311160727763395,1,0.16260845060251905,0
mJB2_,0.18113856959708494,1,0.16798790584689535,9
mJB3_,0.5708163787836503,8,0.21839707832578328,-4
mJB4_,0.2068682935466342,-10,0.12615012937018538,-11
mJB5_,0.15041409984255594,-7,0.0750899360581151,13
mJS0_,0.18095042499811675,-7,0.27976774874286603,6
mJS1_,0.18088120877318348,3,0.2756224073432842,1
mJS2_,0.18494798170554452,0,0.12729404700475985,-4
mJS3_,0.20627487551358056,-11,0.20972582721157365,-14
mJS4_,0.13915683055493852,-13,0.2320487042762855,-13
mJS5_,0.10994429739628961,-15,0.08918340946179423,10
mKR0_,0.07536346185814043,-11,0.1888263625521794,-14
mKR1_,0.19222171744001,-8,0.15156463692028588,-12
mKR2_,0.0653266183637795,13,0.17601485680773019,-14
mKR3_,0.16579515627948035,5,0.18557972255138352,-11
mKR4_,0.08789704307897159,-4,0.07500110581469832,-12
mKR5_,0.06737861753253488,8,0.07870568725117998,-4
mLH0_,0.13918112656411072,-11,0.2253090785566167,-11
mLH1_,0.1891530426573741,13,0.252776568259376,-10
mLH2_,0.18108851120624156,8,0.15502257125778016,15
mLH3_,0.13565992890105458,11,0.14740429509026204,12
mLH4_,0.19726524440215884,14,0.21351743702783688,-12
mLH5_,0.23284408371159201,-5,0.2034130205468824,-10
mLO0_,0.09001117191527926,14,0.1840571273999904,-7
mLO1_,0.028177525246940914,-8,0.2438738624585553,6
mLO2_,0.1301387041840094,9,0.1369208860013142,-5
mLO3_,0.1604735048956726,-5,0.05965820396271372,-14
mLO4_,0.09766386726315736,0,0.2346738834191407,12
mLO5_,0.06099270727444545,1,0.12947332132691,4
mMH0_,0.20943196445727538,11,0.10086327565320048,0
mMH1_,0.15410025656637114,10,0.18652670098502783,13
mMH2_,0.258983782381796,-14,0.17808273939868027,-10
mMH3_,0.12203514683159908,3,0.10503811347157396,1
mMH4_,0.09021826198330676,-4,0.39643774957750205,15
mMH5_,0.08489901072952938,-6,0.09873776479885842,7
mPO0_,0.25533811225891057,6,0.2457587190796657,6
mPO1_,0.14978862578326,-5,0.11076663739112942,-8
mPO2_,0.20482993563049484,-11,0.1463049318789358,-7
mPO3_,0.04950420922598586,-6,0.15980224326704806,13
mPO4_,0.158383663945537,-10,0.283360403290819,-15
mPO5_,0.18836326401359743,13,0.07425981136956256,-9
mWA0_,0.10651645490960243,3,0.12966439388413262,2
mWA1_,0.16661403248273726,-2,0.21946120628226184,15
mWA2_,0.309315503626726,1,0.17375260086741642,-8
mWA3_,0.13784456158687958,-6,0.17992701689978727,15
mWA4_,0.14234844913091538,-1,0.1770290308004094,6
mWA5_,0.10742227541716619,0,0.07569918457196256,8
