track,exp05_corr,exp05_lag,exp06b_corr,exp06b_lag
mBR0_,0.16474457306885384,12,0.17049116519694893,8
mBR1_,0.16544536814930322,-8,0.171843503197906,6
mBR2_,0.12488080362607354,5,0.09260194702742279,4
mBR3_,0.2286508920176198,-2,0.19412065420197022,-12
mBR4_,0.1467174919708189,-10,0.2096535595954938,-14
mBR5_,0.09845763187208284,-10,0.09789310414758733,-11
mHO0_,0.103122273636203,-12,0.046495202491679904,-5
mHO1_,0.12912221863262338,-5,0.22282597351561706,-5
mHO2_,0.1841065318362656,12,0.0895885664868939,-8
mHO3_,0.23361376048621801,14,0.20484697127484833,-14
mHO4_,0.14994171605481804,-7,0.10364698191059328,3
mHO5_,0.17155495304973045,-10,0.24480205527573468,10
mJB0_,0.16263417309141734,-4,0.2017310773138204,14
mJB1_,0.1626084536267624,0,0.1779663659600996,-14
mJB2_,0.16798788092870162,9,0.19204809486508767,2
mJB3_,0.21839707262254177,-4,0.5031542036960143,11
mJB4_,0.12615013812085937,-11,0.24694821197334446,-14
mJB5_,0.07508988770326466,13,0.17749152997620363,1
mJS0_,0.2797677390132582,6,0.1830579408972745,11
mJS1_,0.2756223924131288,1,0.2748030439426833,9
mJS2_,0.12729404164009417,-4,0.2432387454478528,-12
mJS3_,0.2097258022991794,-14,0.21735465933465328,1
mJS4_,0.23204867995161654,-13,0.19792722317090056,12
mJS5_,0.08918340094108419,10,0.15811980790986926,-2
mKR0_,0.18882635479131576,-14,0.1660283710278707,5
mKR1_,0.151564635237016,-12,0.18923981538533366,-13
mKR2_,0.1760148486514853,-14,0.140606170841087,0
mKR3_,0.1855797150372839,-11,0.31402221640484157,8
mKR4_,0.07500110101432574,-12,0.12812681289249506,2
mKR5_,0.07870569462745261,-4,0.11031745290146273,-11
mLH0_,0.22530908590205964,-11,0.33044962212248846,-10
mLH1_,0.2527765438981254,-10,0.22523590627510515,-4
mLH2_,0.15502257051127913,15,0.0821185604072403,11
mLH3_,0.1474042810132682,12,0.1496015786147654,2
mLH4_,0.21351747140410138,-12,0.32490284080515036,-14
mLH5_,0.20341301833379938,-10,0.18457260821901045,10
mLO0_,0.18405715616823168,-7,0.15621741650379298,-12
mLO1_,0.24387383655252445,6,0.13166949567980504,0
mLO2_,0.1369208952313448,-5,0.12812557896422613,0
mLO3_,0.05965820155354953,-14,0.2368536796147288,-1
mLO4_,0.23467387050868566,12,0.1529065796593464,-11
mLO5_,0.12947331093392409,4,0.15402762551670893,10
mMH0_,0.10086328042501976,0,0.15708086886182415,5
mMH1_,0.18652671641970928,13,0.18170166116104605,14
mMH2_,0.17808277018986832,-10,0.2515456134785666,-14
mMH3_,0.105038116512633,1,0.23129425672404869,10
mMH4_,0.39643773586285685,15,0.16514738921327732,6
mMH5_,0.09873776401955427,7,0.20051277000557063,7
mPO0_,0.24575872086774045,6,0.16666285063688926,6
mPO1_,0.11076662635909375,-8,0.17255705519418565,-5
mPO2_,0.14630492815823354,-7,0.16664380309243593,5
mPO3_,0.15980224125986037,13,0.34387993250114807,-1
mPO4_,0.28336040644429716,-15,0.16661791101841758,2
mPO5_,0.07425982722732832,-9,0.21015952742554334,-2
mWA0_,0.12966442305643508,2,0.22550025242760502,-15
mWA1_,0.21946119519766047,15,0.22989907817001168,13
mWA2_,0.17375259963053735,-8,0.23577133215681811,-9
mWA3_,0.17992701781794448,15,0.1714678895614739,8
mWA4_,0.17702902725422423,6,0.14779121615061216,14
mWA5_,0.07569918408952772,8,0.23114817904659613,1
