track,exp06b_corr,exp06b_lag,exp08_corr,exp08_lag
mBR0_,0.17049116519694893,8,0.18063129032012754,-8
mBR1_,0.171843503197906,6,0.1830894012245667,-6
mBR2_,0.09260194702742279,4,0.20062246500298891,-13
mBR3_,0.19412065420197022,-12,0.12905406650471232,3
mBR4_,0.2096535595954938,-14,0.14231525157595196,-13
mBR5_,0.09789310414758733,-11,0.13358939896107663,13
mHO0_,0.046495202491679904,-5,0.12400168383402863,-9
mHO1_,0.22282597351561706,-5,0.22984376001157747,-3
mHO2_,0.0895885664868939,-8,0.19362813551725222,-1
mHO3_,0.20484697127484833,-14,0.10044458784946911,-12
mHO4_,0.10364698191059328,3,0.0972699885180526,2
mHO5_,0.24480205527573468,10,0.17089662996313995,2
mJB0_,0.2017310773138204,14,0.1563506169609972,8
mJB1_,0.1779663659600996,-14,0.2229637494794396,-8
mJB2_,0.19204809486508767,2,0.1729696965430202,5
mJB3_,0.5031542036960143,11,0.38300908254966054,11
mJB4_,0.24694821197334446,-14,0.20423465967053225,15
mJB5_,0.17749152997620363,1,0.29710879779591637,-4
mJS0_,0.1830579408972745,11,0.1376385394043704,-5
mJS1_,0.2748030439426833,9,0.20159916585217927,-10
mJS2_,0.2432387454478528,-12,0.17039464634727577,15
mJS3_,0.21735465933465328,1,0.244546108762004,-14
mJS4_,0.19792722317090056,12,0.18342694350388586,3
mJS5_,0.15811980790986926,-2,0.15420980861899072,15
mKR0_,0.1660283710278707,5,0.14644643355359824,4
mKR1_,0.18923981538533366,-13,0.2144987032992246,13
mKR2_,0.140606170841087,0,0.19795998575659057,4
mKR3_,0.31402221640484157,8,0.18402313081143845,4
mKR4_,0.12812681289249506,2,0.23537326276896328,13
mKR5_,0.11031745290146273,-11,0.10530636763500262,8
mLH0_,0.33044962212248846,-10,0.3281121693639455,14
mLH1_,0.22523590627510515,-4,0.21701158354868505,-3
mLH2_,0.0821185604072403,11,0.25658032766821837,-12
mLH3_,0.1496015786147654,2,0.2041030869688115,-2
mLH4_,0.32490284080515036,-14,0.23636779999113727,-14
mLH5_,0.18457260821901045,10,0.38846787722568465,11
mLO0_,0.15621741650379298,-12,0.19221026921580792,-13
mLO1_,0.13166949567980504,0,0.10946021740717855,-4
mLO2_,0.12812557896422613,0,0.09721944122058951,9
mLO3_,0.2368536796147288,-1,0.24041419269843933,-3
mLO4_,0.1529065796593464,-11,0.2107815386659724,-8
mLO5_,0.15402762551670893,10,0.1451569594514031,-1
mMH0_,0.15708086886182415,5,0.13031681673466033,4
mMH1_,0.18170166116104605,14,0.167087196399561,1
mMH2_,0.2515456134785666,-14,0.14293193437188026,2
mMH3_,0.23129425672404869,10,0.25875006651930177,-14
mMH4_,0.16514738921327732,6,0.09782293671072585,-5
mMH5_,0.20051277000557063,7,0.22230293748218038,-4
mPO0_,0.16666285063688926,6,0.23877574902660909,15
mPO1_,0.17255705519418565,-5,0.2258769222788464,-4
mPO2_,0.16664380309243593,5,0.2652824581238698,-12
mPO3_,0.34387993250114807,-1,0.22315882123045297,15
mPO4_,0.16661791101841758,2,0.14712914350341055,9
mPO5_,0.21015952742554334,-2,0.05873335240437314,-5
mWA0_,0.22550025242760502,-15,0.1637528817512091,-5
mWA1_,0.22989907817001168,13,0.21532240223175222,5
mWA2_,0.23577133215681811,-9,0.22578193188440798,7
mWA3_,0.1714678895614739,8,0.2575345484129924,9
mWA4_,0.14779121615061216,14,0.2546124419354448,14
mWA5_,0.23114817904659613,1,0.12176909787914969,-4
