track,exp06b_corr,exp06b_lag,exp07_corr,exp07_lag
mBR0_,0.17049116519694893,8,0.17978945537044227,-5
mBR1_,0.171843503197906,6,0.19012328600827008,-13
mBR2_,0.09260194702742279,4,0.10823905609328628,0
mBR3_,0.19412065420197022,-12,0.20669320014608386,3
mBR4_,0.2096535595954938,-14,0.08910195879019588,-10
mBR5_,0.09789310414758733,-11,0.22857390314412904,-11
mHO0_,0.046495202491679904,-5,0.130854709810089,15
mHO1_,0.22282597351561706,-5,0.10732591265644384,15
mHO2_,0.0895885664868939,-8,0.0868076655587017,2
mHO3_,0.20484697127484833,-14,0.18849486459105624,4
mHO4_,0.10364698191059328,3,0.19050759933123684,7
mHO5_,0.24480205527573468,10,0.13620174930204387,14
mJB0_,0.2017310773138204,14,0.2430010049714125,10
mJB1_,0.1779663659600996,-14,0.20705742152614054,1
mJB2_,0.19204809486508767,2,0.12878686022322527,14
mJB3_,0.5031542036960143,11,0.5068310639604464,5
mJB4_,0.24694821197334446,-14,0.20952455966134997,5
mJB5_,0.17749152997620363,1,0.14515417869639913,-12
mJS0_,0.1830579408972745,11,0.11111340614249442,5
mJS1_,0.2748030439426833,9,0.16877090190057714,9
mJS2_,0.2432387454478528,-12,0.2378987313664827,15
mJS3_,0.21735465933465328,1,0.16662483033710182,15
mJS4_,0.19792722317090056,12,0.22794440499506852,-3
mJS5_,0.15811980790986926,-2,0.23650197068489054,12
mKR0_,0.1660283710278707,5,0.2614861566365358,0
mKR1_,0.18923981538533366,-13,0.13398338390946454,3
mKR2_,0.140606170841087,0,0.20144486489590607,-2
mKR3_,0.31402221640484157,8,0.2339541685996395,-6
mKR4_,0.12812681289249506,2,0.13528565320610908,-3
mKR5_,0.11031745290146273,-11,0.19399180144045425,13
mLH0_,0.33044962212248846,-10,0.10324984798625611,-6
mLH1_,0.22523590627510515,-4,0.2264679560145909,7
mLH2_,0.0821185604072403,11,0.3754874261672724,0
mLH3_,0.1496015786147654,2,0.16230058971353153,-7
mLH4_,0.32490284080515036,-14,0.12430736765764276,12
mLH5_,0.18457260821901045,10,0.1851696091947991,-10
mLO0_,0.15621741650379298,-12,0.20422914388295477,-15
mLO1_,0.13166949567980504,0,0.12535446231327949,13
mLO2_,0.12812557896422613,0,0.14083173802715757,9
mLO3_,0.2368536796147288,-1,0.15066674867871377,-4
mLO4_,0.1529065796593464,-11,0.21286194595159197,11
mLO5_,0.15402762551670893,10,0.12335727188771023,-3
mMH0_,0.15708086886182415,5,0.11160739573232484,15
mMH1_,0.18170166116104605,14,0.15093608405255965,-1
mMH2_,0.2515456134785666,-14,0.2708576606412756,-13
mMH3_,0.23129425672404869,10,0.13765624630323403,-11
mMH4_,0.16514738921327732,6,0.22366952518526975,-13
mMH5_,0.20051277000557063,7,0.1471323599737831,-13
mPO0_,0.16666285063688926,6,0.13168595577169764,6
mPO1_,0.17255705519418565,-5,0.18492498931407875,-3
mPO2_,0.16664380309243593,5,0.1943754947200049,7
mPO3_,0.34387993250114807,-1,0.2692277586252169,-4
mPO4_,0.16661791101841758,2,0.1326148776675282,8
mPO5_,0.21015952742554334,-2,0.10318659643614458,-10
mWA0_,0.22550025242760502,-15,0.2543136802248092,0
mWA1_,0.22989907817001168,13,0.2049906797150698,12
mWA2_,0.23577133215681811,-9,0.23305205926562278,13
mWA3_,0.1714678895614739,8,0.2624317003037099,2
mWA4_,0.14779121615061216,14,0.26645988740552473,12
mWA5_,0.23114817904659613,1,0.17557438849674784,-1
