track,exp02_corr,exp02_lag,exp08_corr,exp08_lag
mBR0_,0.1494550991895363,9,0.18063129032012754,-8
mBR1_,0.12826302294697228,9,0.1830894012245667,-6
mBR2_,0.0692228633990392,-15,0.20062246500298891,-13
mBR3_,0.19374067190523833,-11,0.12905406650471232,3
mBR4_,0.05307138807994811,7,0.14231525157595196,-13
mBR5_,0.2664822473336075,-2,0.13358939896107663,13
mHO0_,0.17940467925011647,13,0.12400168383402863,-9
mHO1_,0.1561367099226121,-15,0.22984376001157747,-3
mHO2_,0.2804158405889957,2,0.19362813551725222,-1
mHO3_,0.13692840198390602,-13,0.10044458784946911,-12
mHO4_,0.16044873364416978,10,0.0972699885180526,2
mHO5_,0.05513194263500028,-11,0.17089662996313995,2
mJB0_,0.18708911903430459,3,0.1563506169609972,8
mJB1_,0.13351133763807244,-9,0.2229637494794396,-8
mJB2_,0.1417688397484001,13,0.1729696965430202,5
mJB3_,0.11765608899305388,14,0.38300908254966054,11
mJB4_,0.15452419412456958,-6,0.20423465967053225,15
mJB5_,0.18847990349497823,15,0.29710879779591637,-4
mJS0_,0.24692578395432532,0,0.1376385394043704,-5
mJS1_,0.1388323646411992,0,0.20159916585217927,-10
mJS2_,0.18851654328561673,4,0.17039464634727577,15
mJS3_,0.18479700189736642,8,0.244546108762004,-14
mJS4_,0.27312612366471584,7,0.18342694350388586,3
mJS5_,0.17989020276577194,15,0.15420980861899072,15
mKR0_,0.05363953004729069,-3,0.14644643355359824,4
mKR1_,0.14011235417644,-1,0.2144987032992246,13
mKR2_,0.25913189855086416,4,0.19795998575659057,4
mKR3_,0.23461330892750326,-5,0.18402313081143845,4
mKR4_,0.17514989366237543,13,0.23537326276896328,13
mKR5_,0.12498940673514121,9,0.10530636763500262,8
mLH0_,0.259974184923307,-8,0.3281121693639455,14
mLH1_,0.13719141638916732,12,0.21701158354868505,-3
mLH2_,0.2875946853022608,0,0.25658032766821837,-12
mLH3_,0.15520752054553408,-10,0.2041030869688115,-2
mLH4_,0.21553124679496333,0,0.23636779999113727,-14
mLH5_,0.2710008598980624,-5,0.38846787722568465,11
mLO0_,0.13938487905500271,11,0.19221026921580792,-13
mLO1_,0.08613301127682846,6,0.10946021740717855,-4
mLO2_,0.12094960355282747,-1,0.09721944122058951,9
mLO3_,0.17231116862113446,-4,0.24041419269843933,-3
mLO4_,0.18286623563238105,13,0.2107815386659724,-8
mLO5_,0.08723715087605315,-6,0.1451569594514031,-1
mMH0_,0.11685321533656468,-10,0.13031681673466033,4
mMH1_,0.19833941321980497,-15,0.167087196399561,1
mMH2_,0.2334068585743518,-13,0.14293193437188026,2
mMH3_,0.13472590140248353,6,0.25875006651930177,-14
mMH4_,0.23273531154141683,3,0.09782293671072585,-5
mMH5_,0.2503733098845309,-6,0.22230293748218038,-4
mPO0_,0.2034900596835748,-7,0.23877574902660909,15
mPO1_,0.24578853490911107,-14,0.2258769222788464,-4
mPO2_,0.11238300377178433,10,0.2652824581238698,-12
mPO3_,0.15052020913270903,15,0.22315882123045297,15
mPO4_,0.17254070592784124,-3,0.14712914350341055,9
mPO5_,0.2458657711644623,-15,0.05873335240437314,-5
mWA0_,0.18226106321812016,-11,0.1637528817512091,-5
mWA1_,0.19664016578520055,-5,0.21532240223175222,5
mWA2_,0.1896968235221625,-13,0.22578193188440798,7
mWA3_,0.050860653837944095,-13,0.2575345484129924,9
mWA4_,0.24551304408794436,-4,0.2546124419354448,14
mWA5_,0.16947118642470083,11,0.12176909787914969,-4
