track,exp01_corr,exp01_lag,lam_0p0_corr,lam_0p0_lag
mBR0_,0.23437993104158522,-6,0.1711837494445039,8
mBR1_,0.2346831841216211,14,0.17180545379877318,6
mBR2_,0.22381584648384922,-14,0.09371507305319231,4
mBR3_,0.1640318785842932,-12,0.1913835955047994,-12
mBR4_,0.07878746810646496,-11,0.20776654684937593,-14
mBR5_,0.09232236893983728,-2,0.15542268717644955,-6
mHO0_,0.09774104325201173,5,0.04372456395143026,-5
mHO1_,0.12430834268769111,11,0.21714876501669228,-5
mHO2_,0.1537183043628782,-7,0.09054468863141328,-8
mHO3_,0.12972525225785528,10,0.20626445089754508,-14
mHO4_,0.07596245021347457,0,0.10748788437065905,3
mHO5_,0.13337289850733156,-5,0.2587635899232128,11
mJB0_,0.07134692888198953,15,0.2014141525762595,14
mJB1_,0.07108580338955624,-8,0.1751617067318229,-14
mJB2_,0.18612706035588922,14,0.19254831462604122,2
mJB3_,0.2716165357469251,11,0.5041770515013115,11
mJB4_,0.14436105416088185,7,0.24504299399887902,-14
mJB5_,0.1319291570979775,6,0.1776203962696862,1
mJS0_,0.07759018063049576,-9,0.15673934278072266,12
mJS1_,0.19767169337559792,2,0.27451860341854895,9
mJS2_,0.17923243673782716,-15,0.2437132089754605,-12
mJS3_,0.11358346376497828,13,0.21778168724324548,1
mJS4_,0.1186264407326901,-1,0.19739625966837956,12
mJS5_,0.15432778475456077,13,0.1588906801792103,-2
mKR0_,0.08305267342825114,-15,0.17052948575290472,5
mKR1_,0.10387868638480673,-6,0.18904891558977735,-13
mKR2_,0.0740040640198312,-2,0.14480983250292176,0
mKR3_,0.19966768844990077,-8,0.31230376817339717,8
mKR4_,0.11841722479925489,15,0.12765976044695876,2
mKR5_,0.12642306147856971,-1,0.11058235120034,-11
mLH0_,0.17027425919249575,-7,0.33030134500431263,-10
mLH1_,0.4514060812820605,11,0.2227793105599709,-4
mLH2_,0.12418829275208403,15,0.08131981943096801,11
mLH3_,0.16805413237366276,13,0.14375236308376482,2
mLH4_,0.07963502127171843,3,0.3256881968952584,-14
mLH5_,0.23780964708893318,5,0.18796432315034434,10
mLO0_,0.17277283282013348,-12,0.1410749516780857,-12
mLO1_,0.20315990694766586,-7,0.13164431240488805,1
mLO2_,0.11292783147913094,-6,0.12812870739039925,0
mLO3_,0.14698448087335883,1,0.2370034669697252,-1
mLO4_,0.10847151978059151,-15,0.15312720179020442,-11
mLO5_,0.12741628007007677,-7,0.1554709299450136,10
mMH0_,0.10948626245422524,10,0.16191383098445036,5
mMH1_,0.20791362799585228,-8,0.17660017833695896,14
mMH2_,0.21685908271042173,-13,0.24994300850095477,-14
mMH3_,0.21906099378820537,2,0.22656206900220568,10
mMH4_,0.10638683831642565,13,0.1660606501915962,6
mMH5_,0.18710470493907222,14,0.19986312912677848,7
mPO0_,0.16615130410631682,-12,0.1663202579107884,6
mPO1_,0.2392794960256461,-2,0.17274700973974483,-5
mPO2_,0.1239715505062076,5,0.17821062043223346,5
mPO3_,0.2509607504414746,11,0.34367661901864777,-1
mPO4_,0.07555427912493783,-2,0.16715525207816503,2
mPO5_,0.16756604846238973,-1,0.20924739409957321,-2
mWA0_,0.26108639240042675,-15,0.224696801776093,-15
mWA1_,0.1745763336713924,-3,0.2301934036407741,13
mWA2_,0.17010501863064034,3,0.23320656697834097,-9
mWA3_,0.24734114126885673,13,0.17345506787796594,8
mWA4_,0.09629804914683607,14,0.14383508515746823,14
mWA5_,0.018154755202830702,5,0.23110867811476798,1
