track,exp01_corr,exp01_lag,exp10b_corr,exp10b_lag
mBR0_,0.23437991549229895,-6,0.09819557933910211,-5
mBR1_,0.23468316898924005,14,0.18350988797831236,-8
mBR2_,0.22381584723686312,-14,0.17681380899297394,12
mBR3_,0.16403188518410894,-12,0.15010123499986947,-3
mBR4_,0.07878746592767981,-11,0.16260844602044394,0
mBR5_,0.09232236741864439,-2,0.21273289654181732,10
mHO0_,0.09774102861522632,5,0.16325033172999615,-12
mHO1_,0.12430834822398401,11,0.15697537352061924,-4
mHO2_,0.1537183200476893,-7,0.19344076274414895,6
mHO3_,0.12972524612377345,10,0.1396707055912082,13
mHO4_,0.07596245266766899,0,0.062458569366976094,6
mHO5_,0.13337291031808424,-5,0.10549492086583544,5
mJB0_,0.07134689645300687,15,0.10599544564410829,-7
mJB1_,0.07108581706363912,-8,0.15490390195743792,15
mJB2_,0.18612704737255267,14,0.4763333771868775,-9
mJB3_,0.2716165539070702,11,0.11717051653744168,1
mJB4_,0.14436107283537075,7,0.11465666999444078,-9
mJB5_,0.131929190477987,6,0.05468967623146788,13
mJS0_,0.07759016989450951,-9,0.24757727171217908,-1
mJS1_,0.19767169301453366,2,0.054692787755276584,-2
mJS2_,0.1792324179386806,-15,0.21064463136727066,1
mJS3_,0.1135834610771088,13,0.14209565082376854,-7
mJS4_,0.11862644945365025,-1,0.2538711754797037,-10
mJS5_,0.15432778617838494,13,0.18240567767287666,2
mKR0_,0.08305267650754945,-15,0.35776631791051,-15
mKR1_,0.10387868941066916,-6,0.1079298626396223,15
mKR2_,0.07400406208347808,-2,0.11196263868251234,2
mKR3_,0.19966769754649688,-8,0.14666110720184045,-12
mKR4_,0.11841721110331505,15,0.15971266606701118,13
mKR5_,0.1264230677757963,-1,0.13689527519420575,4
mLH0_,0.17027428877182843,-7,0.312457336142924,12
mLH1_,0.45140609027212764,11,0.2049829368413779,7
mLH2_,0.1241883014370227,15,0.0958592489692807,15
mLH3_,0.16805412665237587,13,0.19946051963950406,11
mLH4_,0.07963501381216787,3,0.11165402455211847,-8
mLH5_,0.2378096583674471,5,0.23753770788854778,-1
mLO0_,0.17277283900199147,-12,0.1665460410420324,-7
mLO1_,0.20315991422780602,-7,0.27585513511947496,1
mLO2_,0.11292784294276977,-6,0.17871374682905905,-11
mLO3_,0.146984471553452,1,0.11551605461951771,5
mLO4_,0.10847153175453568,-15,0.05841918538454457,13
mLO5_,0.12741630135719903,-7,0.11076781420801386,6
mMH0_,0.1094862603208118,10,0.1797640745644279,4
mMH1_,0.20791361722846471,-8,0.10611520365335297,-9
mMH2_,0.21685909111012286,-13,0.1517357990264679,7
mMH3_,0.2190609978956815,2,0.09732572232164698,7
mMH4_,0.10638681916473072,13,0.11537067337010246,-12
mMH5_,0.1871046936397812,14,0.11382558987584628,-15
mPO0_,0.166151292760695,-12,0.2299634174883221,12
mPO1_,0.23927948421550133,-2,0.3037130073852148,-11
mPO2_,0.12397152652728773,5,0.10107595743211381,-3
mPO3_,0.2509607365631176,11,0.20085510563379827,1
mPO4_,0.07555428704234622,-2,0.20851074412955306,-14
mPO5_,0.16756604583301837,-1,0.1369414877807329,-5
mWA0_,0.2610864187013755,-15,0.17939587336423762,4
mWA1_,0.1745763352950272,-3,0.16908981804874354,11
mWA2_,0.17010502420139598,3,0.20426200724334143,-9
mWA3_,0.24734115327139278,13,0.11639487893657874,-8
mWA4_,0.0962980535429112,14,0.12019082744017565,2
mWA5_,0.018154750166502854,5,0.0918782854999705,0
