track,exp01_corr,exp01_lag,exp13_corr,exp13_lag
mBR0_,0.23437993104158522,-6,0.22672905502974425,-10
mBR1_,0.2346831841216211,14,0.162318561922778,2
mBR2_,0.22381584648384922,-14,0.3014524254296237,9
mBR3_,0.1640318785842932,-12,0.3143507689595993,-8
mBR4_,0.07878746810646496,-11,0.19003002054715848,4
mBR5_,0.09232236893983728,-2,0.13006555033953668,-7
mHO0_,0.09774104325201173,5,0.15003646543120988,12
mHO1_,0.12430834268769111,11,0.3135711579928426,11
mHO2_,0.1537183043628782,-7,0.25192314825474005,7
mHO3_,0.12972525225785528,10,0.14715566012103876,-11
mHO4_,0.07596245021347457,0,0.1228195776396759,-5
mHO5_,0.13337289850733156,-5,0.14971753128612086,-4
mJB0_,0.07134692888198953,15,0.3091270128448008,11
mJB1_,0.07108580338955624,-8,0.2226812020619936,-11
mJB2_,0.18612706035588922,14,0.19716215435255371,-7
mJB3_,0.2716165357469251,11,0.21040975804231454,9
mJB4_,0.14436105416088185,7,0.2556391425631411,-14
mJB5_,0.1319291570979775,6,0.09119547036883716,15
mJS0_,0.07759018063049576,-9,0.11788500617866328,7
mJS1_,0.19767169337559792,2,0.2757147330771753,0
mJS2_,0.17923243673782716,-15,0.09742844102969758,-1
mJS3_,0.11358346376497828,13,0.23096543239987308,3
mJS4_,0.1186264407326901,-1,0.20674591854806068,1
mJS5_,0.15432778475456077,13,0.08612200669448977,1
mKR0_,0.08305267342825114,-15,0.20670798848390626,12
mKR1_,0.10387868638480673,-6,0.2532124814221608,14
mKR2_,0.0740040640198312,-2,0.18779535362645064,-2
mKR3_,0.19966768844990077,-8,0.20164057264480048,-3
mKR4_,0.11841722479925489,15,0.2898444712706186,15
mKR5_,0.12642306147856971,-1,0.2554361557484396,5
mLH0_,0.17027425919249575,-7,0.08137279513171157,-3
mLH1_,0.4514060812820605,11,0.6728118278393262,12
mLH2_,0.12418829275208403,15,0.2625966178733076,-15
mLH3_,0.16805413237366276,13,0.2531878225923557,-9
mLH4_,0.07963502127171843,3,0.14238150930030005,9
mLH5_,0.23780964708893318,5,0.15635983017735056,-15
mLO0_,0.17277283282013348,-12,0.16401763504833228,-9
mLO1_,0.20315990694766586,-7,0.2582733271775914,-5
mLO2_,0.11292783147913094,-6,0.18658561418982383,-6
mLO3_,0.14698448087335883,1,0.1113850787166397,10
mLO4_,0.10847151978059151,-15,0.08624580164539752,9
mLO5_,0.12741628007007677,-7,0.1213526654274825,11
mMH0_,0.10948626245422524,10,0.26769922216114295,13
mMH1_,0.20791362799585228,-8,0.15338401851655148,11
mMH2_,0.21685908271042173,-13,0.1647945027568747,-7
mMH3_,0.21906099378820537,2,0.19662071764021596,9
mMH4_,0.10638683831642565,13,0.10890384604108515,-1
mMH5_,0.18710470493907222,14,0.1626652819821886,-9
mPO0_,0.16615130410631682,-12,0.1952580768529007,10
mPO1_,0.2392794960256461,-2,0.2201312032237194,-10
mPO2_,0.1239715505062076,5,0.2165626790245154,-10
mPO3_,0.2509607504414746,11,0.16653976361545889,5
mPO4_,0.07555427912493783,-2,0.18563347228249918,-1
mPO5_,0.16756604846238973,-1,0.274003783443187,-10
mWA0_,0.26108639240042675,-15,0.15573078029631152,-15
mWA1_,0.1745763336713924,-3,0.18878506805283762,-8
mWA2_,0.17010501863064034,3,0.32049143344110165,-13
mWA3_,0.24734114126885673,13,0.19502043666274943,11
mWA4_,0.09629804914683607,14,0.13807278001179438,1
mWA5_,0.018154755202830702,5,0.25580282265117776,7
